Title,Body
Need a Ride from Indy Airport back to Rose,"Happy New Year everyone! I am looking for a ride back to Rose on Friday, Jan 4th. I will arrive at Indy Airport at around 11 PM. Contact me at wangz2@rose-hulman.edu<mailto:wangz2@rose-hulman.edu>. Thanks.   Sent from Windows Mail"
Yet another person asking for a ride back from indy,"My flight lands at 3:45pm on Saturday
I am willing to pay for gas (and food if neccessary)."
Another ride back to campus,"I am looking for a ride back to campus from the Indianapolis International Airport on Saturday. My flight is currently scheduled to land at 10:05 PM, which I understand to be inconvenient for most people. Please email me at wieteltr@rose-hulman.edu if you can help me out. Thanks!"
Ride back to Campus,"I was hoping someone may be able to give me a ride back to campus for Indy Airport on Sunday at about 7:30 pm. If so please get back to me at savrdada@rose-hulman.edu.
Thank you for your time
David Savrda"
Requesting a ride back to campus,"My flight lands at 3:45pm. I am willing to pay for gas. I will take any ride leaving Indy at that time or later (preferably before 5, but I can wait longer if necessary).

contact me at llewelsd@rose-hulman.edu"
Bring back your change!,"Don't forget to bring your change back to campus with you for Delta Delta Delta's Greek Penny Wars in 7th week!
Happy New Year!"
Ride from Indy,"Hi, sorry for yet another email about this, but I was hoping to catch a ride on Sunday from the airport.  I get in around 7, but I would be willing to wait.  I also have money for gas.  Please let me know if you could help by emailing me at bencejp@rose-hulman.edu.  Thanks."
Need a Ride Form Indi Airport,"Hey, my name is Eshan Nayyar and I need a ride form Indi airport to rose on the 6th, landing at 6:20pm flight number DL 3427. Please, you can send me email at nayyarec@rose-hulman.edu or eshan93@hotmail.com. I am currently out of USA so my phone will not be activated but my US number is 8122519665."
Need a ride from Indy *on Monday*,"Hey all,

My flight lands in Indy about 1:15 PM on Monday. I'll pay 50$ for someone to drive from campus to pick me up. 

You can contact me at wangjx@rose-hulman.edu.

Thanks,
Josiah"
Need Ride from Indy Airport to Rose,"My flight lands on Sunday at 8:24PM, I will be happy to pay for your trouble. Thank you!"
Looking for a ride from Indianapolis airport to Rose-Hulman,"I arrive in Indianapolis Airport at Saturday Afternoon.  Will pay for gas and food.  Carrying wetlock box and a rolling carry on.
Contact me through email at samuellj@rose-hulman.edu"
Ride back from Indy,"My flight lands at 11:30 pm on sunday. Is there anyone who can give me a ride or who would like to share a cab that late? I'm willing to pay for gas or more if you are willing to drive from campus.

Contact me at bowmasbt@rose-hulman.edu"
Ride back to Campus,".ExternalClassA87E48F2968B497F900856F9046EE024 p.MsoNormal, .ExternalClassA87E48F2968B497F900856F9046EE024 li.MsoNormal, .ExternalClassA87E48F2968B497F900856F9046EE024 div.MsoNormal
{margin:0in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClassA87E48F2968B497F900856F9046EE024 a:link, .ExternalClassA87E48F2968B497F900856F9046EE024 span.MsoHyperlink
{color:blue;text-decoration:underline;}
.ExternalClassA87E48F2968B497F900856F9046EE024 a:visited, .ExternalClassA87E48F2968B497F900856F9046EE024 span.MsoHyperlinkFollowed
{color:purple;text-decoration:underline;}
.ExternalClassA87E48F2968B497F900856F9046EE024 span.EmailStyle17
{font-family:""Calibri"",""sans-serif"";color:windowtext;}
.ExternalClassA87E48F2968B497F900856F9046EE024 .MsoChpDefault
{font-family:""Calibri"",""sans-serif"";}
@page WordSection1
{size:8.5in 11.0in;margin:1.0in 1.0in 1.0in 1.0in;}
.ExternalClassA87E48F2968B497F900856F9046EE024 div.WordSection1
{page:WordSection1;}



I was wondering if anyone could give me a ride back to campus from Indy Airport sometime tomorrow after 7:00pm. I will contribute money to pay for gas and any inconvenience this may cause. I you can give me a ride email me at
savrdada@rose-hulman.edu
Thank you for your time
David Savrda"
Ride from IND,Flight arrives at 6AM. I'm wondering if anyone would be passing through Indy anytime in the morning and wouldn't mind letting me hitch a ride. Can compensate for gas.
Ride from Indy Airport to Rose,"I am at the airport right now, and I need a ride back to Rose asap. Contact me at garrittm@rose-hulman.edu or at 781-354-2615. I will be happy to pay for gas/whatever."
Need a ride from Indy Airport to Rose,My flight lands at 6:50 PM today and I really need a ride. I can help with gas money.  Contact me at longhj@rose-hulman.edu<mailto:longhj@rose-hulman.edu>
Selling Ti-Nspire,"Original Ti-Nspire, no CAS, has both Nspire and TI-84 keyboards.
$50, email me at cartersm@rose-hulman.edu if you're interested."
